CPF-Source-ID	Related-ID	CPF-Type	NameEntry	Date	Subject	Place	Occupation	Activity	BiogHist	Citation	Citation-URL	Citation-FoundData
24669.r008	n78042363	person	Eglevsky, André							Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	Eglevsky, André
24669.r009	n80098147	person	Hayden, Melissa							Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	Hayden, Melissa
24669.r010	n86111419	person	Kaye, Nora, 1920-1987	1920^Birth#1987^Death						Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	Kaye, Nora, 1920-1987
24669.r011	n83198128	person	Kent, Allegra							Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	Kent, Allegra
24669.r012	nr98015170	person	Le Clercq, Tanaquil							Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	Le Clercq, Tanaquil
24669.r013	n78079312	person	Limón, José							Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	Limón, José
24669.r014	n80040627	person	Markova, Alicia, Dame, 1910-2004	1910^Birth#2004^Death						Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	Markova, Alicia, Dame, 1910-2004
24669.r015	no2011100501	person	Mounsey, Yvonne							Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	Mounsey, Yvonne
24669.r016	nr2003023836	person	Reed, Janet, 1916-2000	1916^Birth#2000^Death						Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	Reed, Janet, 1916-2000
24669.r017	n97873617	person	Slavenska, Mia							Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	Slavenska, Mia
24669.r018	n50016845	person	Tallchief, Maria							Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	Tallchief, Maria
24669.r019	n50014357	person	Verdy, Violette, 1933-2016	1933^Birth#2016^Death						Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	Verdy, Violette, 1933-2016
24669.r020		corporateBody	American Ballet Theatre							Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	American Ballet Theatre
24669.r021		corporateBody	Ballet Russe de Monte Carlo							Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	Ballet Russe de Monte Carlo
24669.r022		corporateBody	Jacob's Pillow Dance Festival							Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	Jacob's Pillow Dance Festival
24669.r023		corporateBody	New York City Ballet							Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	New York City Ballet
24898.c01	n80036674	person	Kerouac, Jack, 1922-1969	1922^Birth#1969^Death	Authors, American -- 20th century#Beats (Persons)		Authors		<biogHist><p>Jack Kerouac (1922-1969) was an American Beat novelist, essayist, and poet. Kerouac mentioned plans to write a novel called Beat Traveler as early as 1958, but it was only in January 1960 that he began working on it in earnest. His letter of February 20, 1960 to poet Allen Ginsberg noted that he had made four "false starts on Beat Traveler, about 40,000 words in all, rolled them up and put them away...." A collection of travel writings, some previously published, appeared as Lonesome Traveler later that year.</p></biogHist>	Jack Kerouac typescript drafts for Beat Traveler, approximately 1960 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/24898.xml	Kerouac, Jack, 1922-1969
24078.c01	n91053113	person	Reed, Lou		Guitarists -- United States#Music -- United States -- 20th century#Music -- United States -- 21st century#Music business#Rock concerts#Rock groups -- New York (N.Y.)#Rock Music -- New York (N.Y.)#Rock musicians -- New York (N.Y.)#Sound recording industry -- United States		Musicians.#Photographers.#Songwriters.		<biogHist><p>Lou Reed was an American musician best known for co-founding the Velvet Underground, and his five-decade long career as a solo artist. Lewis "Lou" Allan Reed was born on March 2, 1942 in Brooklyn, New York, and raised in Freeport, Long Island. In 1964, he earned a Bachelor's degree from Syracuse University and moved to New York City to pursue a career in music as a guitarist and songwriter. Reed formed the Velvet Underground with John Cale, Sterling Morrison, and Moe Tucker in 1965, and released four studio albums with the band, before embarking on a solo career in 1970.</p><p>Throughout the 1970s and 1980s, Reed released fifteen studio albums, four live albums, and toured frequently in support of his records. He started off 1990 by again collaborating with John Cale, which ultimately set in motion a Velvet Underground reunion tour in 1993. Three years later, and shortly after the death of Sterling Morrison, the band was inducted into the Rock and Roll Hall of Fame.</p><p>Between 1991 and 2011, Reed released six studio albums, seven live albums, and two career-spanning anthologies. He continued to tour frequently, and also published two books of lyrics and three photography books. On October 27, 2013, Reed died of liver failure at his home in East Hampton, New York. He is survived by his wife, Laurie Anderson. In 2015, Reed was posthumously inducted into the Rock and Roll Hall of Fame as a solo artist.</p></biogHist>	Lou Reed papers, 1958-2015 (The New York Public Library. Music Division.)	http://archives.nypl.org/mus/24078.xml	Reed, Lou
24078.r001	no90014768	person	Cale, John							Lou Reed papers, 1958-2015 (The New York Public Library. Music Division.)	http://archives.nypl.org/mus/24078.xml	Cale, John
24078.r002	n94018033	person	Tucker, Maureen							Lou Reed papers, 1958-2015 (The New York Public Library. Music Division.)	http://archives.nypl.org/mus/24078.xml	Tucker, Maureen
24078.r003		corporateBody	Sister Ray Enterprises							Lou Reed papers, 1958-2015 (The New York Public Library. Music Division.)	http://archives.nypl.org/mus/24078.xml	Sister Ray Enterprises
24078.r004		corporateBody	Velvet Underground (Musical group)							Lou Reed papers, 1958-2015 (The New York Public Library. Music Division.)	http://archives.nypl.org/mus/24078.xml	Velvet Underground (Musical group)
23930.c01	n50030939	person	Campbell, Joseph, 1904-1987	1904^Birth#1987^Death	Mythology -- Study and teaching#Religion -- Study and teaching		Lecturers.#Scholars.		<biogHist><p>Joseph Campbell (1904-1987) was an American mythologist, author, lecturer, and professor of literature at Sarah Lawrence College. He is best known for his 1949 book, The Hero with a Thousand Faces, which introduced the concept of the monomyth, Campbell's theory that the archetypical hero's journey is shared across world mythologies.</p><title>The Hero with a Thousand Faces</title><p>Campbell was born in White Plains, New York on March 26, 1905, and grew up in New Rochelle, New York. Campbell graduated from the Canterbury School, in New Milford, Connecticut in 1921, and began classes at Dartmouth College. Two years later, Campbell transferred to Columbia University, where he earned a Bachelor's degree in English Literature in 1925, and a Master's degree in Arthurian Studies in 1927. Campbell spent the following two years studying in Europe at the University of Paris and University of Munich.</p><p>Upon returning from Europe, Campbell moved to Woodstock, New York, and began writing short fiction and novels. Between 1931 and 1932, Campbell spent time in California where he befriended John and Carol Steinbeck, and accompanied the marine biologist Ed Ricketts on a trip to Juneau, Alaska. The following year, Campbell took a teaching job at the Canterbury school, while also seeking a full-time position in higher education.</p><p>Campbell accepted a job as a Professor of Literature at Sarah Lawrence College in 1934. Four years later he married the dancer and choreographer, Jean Erdman, who was one of his former students. Campbell published his first book in 1943, a collaboration with Maude Oakes and Jeff King entitled, Where the Two Came to Their Father. Campbell was greatly influenced by the writing of both James Joyce and Thomas Mann, and published books on both authors. A Skeleton Key to Finnegans Wake (1944) was written with Henry Morton Robinson, and was one of the first major textual analyses of Joyce's Finnegans Wake.</p><title>Where the Two Came to Their Father</title><title>A Skeleton Key to Finnegans Wake</title><title>Finnegans Wake</title><p>Campbell published a number of books on comparative mythology, which included The Hero with a Thousand Faces (1949); The Mythic Image (1974); the four-volume The Masks of God (1959-1968); the essay collection, The Flight of the Wild Gander; and The Historical Atlas of World Mythology, which was first published in 1983. Campbell had intended to publish four volumes of The Historical Atlas of World Mythology, but only the first volume was completed in his lifetime.</p><title>The Hero with a Thousand Faces</title><title>The Mythic Image</title><title>The Masks of God</title><title>The Flight of the Wild Gander</title><title>The Historical Atlas of World Mythology</title><title>The Historical Atlas of World Mythology</title><p>Throughout his career Campbell collaborated on many writing projects, often as an editor. His most significant editing project was the works of the German scholar, Heinrich Zimmer. After Zimmer's death in 1943, Campbell was tasked with editing and publishing Zimmer's writing. These books include Myths and Symbols in Indian Art and Civilization (1946), The King and the Corpse: Tales of the Soul's Conquest of Evil (1948), Philosophies of India (1951), and The Art of Indian Asia (1955). After completing this final volume of Zimmer's work, Campbell took a sabbatical from Sarah Lawrence and made his first trip to Asia, spending the bulk of his time in India and Japan.</p><title>Myths and Symbols in Indian Art and Civilization</title><title>The King and the Corpse: Tales of the Soul's Conquest of Evil</title><title>Philosophies of India</title><title>The Art of Indian Asia</title><p>Campbell was also a prolific public speaker and lecturer, and travelled around the country to conferences, workshops, and speaking engagements. Two of his books, Myths to Live By (1972) and The Inner Reaches of Outer Space: Metaphor as Myths and as Religion (1986), are based on his lectures. Campbell spent his career publishing and lecturing, and remained at Sarah Lawrence until his retirement in 1972. That same year he co-founded Theater of the Open Eye in New York City with Jean Erdman. The theater served as a venue for Campbell's lectures, as well as Erdman's dance and theatrical works.</p><title>Myths to Live By</title><title>The Inner Reaches of Outer Space: Metaphor as Myths and as Religion</title><p>Between 1985 and 1987, Campbell recorded a series of conversations with the journalist, Bill Moyers. On October 30, 1987, Campbell died in Honolulu, HI. His conversations with Moyers were broadcast a year later as the television series, The Power of Myth. This television series brought increased attention and recognition to Campbell's work.</p><title>The Power of Myth</title><p>In 1990, the Joseph Campbell Foundation was incorporated in an effort to preserve and promote Campbell's work.</p></biogHist>	Joseph Campbell papers, 1930s-1980s1905-1995  (The New York Public Library. Manuscripts and Archives Division.)	http://archives.nypl.org/mss/23930.xml	Campbell, Joseph, 1904-1987
23930.r001	n94015890	person	Erdman, Jean							Joseph Campbell papers, 1930s-1980s1905-1995  (The New York Public Library. Manuscripts and Archives Division.)	http://archives.nypl.org/mss/23930.xml	Erdman, Jean
24508.c01	n83056930	person	Schimmel, William		Accordion -- Instruction and study#Accordion music#Accordionists -- United States#Tangos		Musicians.#Teachers.		<biogHist><p>William Schimmel (1946 - ) is an American accordionist and composer, credited with the resurgence of the accordion as an instrument in modern music, as well as the revival of tango in the United States.</p><p>Schimmel grew up in Philadelphia in a family with many accordionists. He studied at the Neupauer Conservatory of Music before attending the Juilliard School, where he received bachelor, master, and doctoral degrees in composition. In addition to his own material, Schimmel began performing the work of his fellow students, and his reputation was such that he was selected by Luciano Berio to perform on a recording of Kurt Weill songs Berio arranged for the vocalist Cathy Berberian.</p><p>Schimmel worked in theater following his graduation, including in La Mama's production of Aristophanes' The Birds (1979), but he gained greater fame when he and several friends recorded The Tango Project for Nonesuch records in 1982. The album became a major hit, was nominated for a Grammy award, and sparked a new popularity for tango. It also boosted Schimmel's career, and he began working with a wide variety of artists. He has collaborated with many symphony orchestras in the United States and internationally; appeared as a soloist, as well as in chamber groups; commissioned and premiered hundreds of new works for accordion; worked with jazz artists, as well as with Jazz At Lincoln Center; and collaborated with popular artists such as Tom Waits and Sting. His work has also appeared on many film and television soundtracks.</p><title>The Birds</title><title>The Tango Project</title><p>Schimmel has maintained a busy career as an educator, teaching at Juilliard, Brooklyn College, the New School University, New York University, and many other conservatories and universities around the country; he is also the Dean of the Neupauer Conservatory. Under the auspices of the American Accordionists' Association, in which he is highly active, Schimmel has since 1995 presented an annual three-day series of master classes and concerts held every summer at the Tenri Cultural Institute of New York, featuring many accordionists and a wide variety of other musicians and composers.</p><p>Schimmel is married to the choreographer and director Micki Goodman, with whom he has collaborated on music, dance, and theater pieces.</p></biogHist>	William Schimmel video recordings, 1995-20131995-2010  (The New York Public Library. Rodgers and Hammerstein Archives of Recorded Sound.)	http://archives.nypl.org/rha/24508.xml	Schimmel, William
24508.r001	n97858391	person	Goodman, Micki							William Schimmel video recordings, 1995-20131995-2010  (The New York Public Library. Rodgers and Hammerstein Archives of Recorded Sound.)	http://archives.nypl.org/rha/24508.xml	Goodman, Micki
24508.r002		corporateBody	American Accordionists' Association							William Schimmel video recordings, 1995-20131995-2010  (The New York Public Library. Rodgers and Hammerstein Archives of Recorded Sound.)	http://archives.nypl.org/rha/24508.xml	American Accordionists' Association
24680.c01		person	Liff, Biff		Stage managers -- United States#Theater -- New York (State) -- New York#Theater -- United States -- History -- 20th century#Theatrical agents -- United States#Theatrical productions -- New York (State) -- New York				<biogHist><p>Biff Liff (1919-2015) was a theatrical stage manager and agent. Known as Biff (birth name Samuel, born in Boston). He was the son of Rose and Morris Liff, a restauranteur. Liff graduated from the Carnegie Institute of Technology (now Carnegie Mellon University) with a bachelor's degree in theater.</p><p>After serving as an Army officer during WWII, Liff began his career as a stage manager for the production Along Fifth Avenue in New York City. Over the course of his career, Liff managed numerous shows including Gentlemen Prefer Blondes starring Carol Channing. He also worked on many productions for David Merrick, notably My Fair Lady. In the 1970's, Liff became head of the Theatre Department of the William Morris Agency where he represented Julie Andrews, Angela Lansbury, Agnes De Mille, and Jerry Herman among others. Liff received a 2006 Tony honor for Excellence in Theater. Upon his death, the marquees of Broadway were dimmed for one minute.</p><title>Along Fifth Avenue</title><title>Gentlemen Prefer Blondes</title><title>My Fair Lady</title><p>He was survived by his wife Lisette Liff.</p></biogHist>	Biff Liff papers, 1906-2014 (The New York Public Library. Billy Rose Theatre Division.)	http://archives.nypl.org/the/24680.xml	Liff, Biff
24680.r001	n50047986	person	Loewe, Frederick, 1901-1988	1901^Birth#1988^Death						Biff Liff papers, 1906-2014 (The New York Public Library. Billy Rose Theatre Division.)	http://archives.nypl.org/the/24680.xml	Loewe, Frederick, 1901-1988 -- My fair lady
25777.c01	nr2004015449	person	Beekman, William		Authors, English -- 20th century				<biogHist><p>Virginia Woolf (January 25, 1882 – March 28, 1941) was a British writer born and raised in London, England. She was one of the most famous writers of the modernist era and wrote many best-selling books such as Mrs. Dalloway, A Room of One's Own and To The Lighthouse.</p><title>Mrs. Dalloway</title><title>A Room of One's Own</title><title>To The Lighthouse</title></biogHist>	William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Beekman, William
25777.r001	n83148398	person	Bell, Julian, 1908-1937	1908^Birth#1937^Death						William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Bell, Julian, 1908-1937
25777.r002	n82216518	person	Bell, Vanessa, 1879-1961	1879^Birth#1961^Death						William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Bell, Vanessa, 1879-1961
25777.r003	n80003934	person	Sackville-West, V. (Victoria), 1892-1962	1892^Birth#1962^Death						William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Sackville-West, V. (Victoria), 1892-1962
25777.r004	n79058751	person	Woolf, Leonard, 1880-1969	1880^Birth#1969^Death						William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Woolf, Leonard, 1880-1969
25777.r005	n79041870	person	Woolf, Virginia, 1882-1941	1882^Birth#1941^Death						William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Woolf, Virginia, 1882-1941
25777.r006	n2011074514	person	Cholmeley, Robert F. (Robert Francis)							William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Cholmeley, Robert F. (Robert Francis)
25777.r007	n50031545	person	Cameron, Julia Margaret, 1815-1879	1815^Birth#1879^Death						William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Cameron, Julia Margaret, 1815-1879
25777.r008	n79092555	person	Congreve, William, 1670-1729	1670^Birth#1729^Death						William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Congreve, William, 1670-1729
25777.r009	n78087607	person	Dickens, Charles, 1812-1870	1812^Birth#1870^Death						William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Dickens, Charles, 1812-1870
25777.r010		person	Firestone, Clark B.(Clark Barnaby), 1869-1957	1869^Birth#1957^Death						William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Firestone, Clark B.(Clark Barnaby), 1869-1957
25777.r011	n79046230	person	Hardy, Thomas, 1840-1928	1840^Birth#1928^Death						William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Hardy, Thomas, 1840-1928
25777.r012	n79118913	person	Hudson, W. H. (William Henry), 1841-1922	1841^Birth#1922^Death						William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Hudson, W. H. (William Henry), 1841-1922
25777.r013	n80057246	person	Huxley, Aldous, 1894-1963	1894^Birth#1963^Death						William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Huxley, Aldous, 1894-1963
25777.r014	n79063793	person	Montesquieu, Charles de Secondat, baron de, 1689-1755	1689^Birth#1755^Death						William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Montesquieu, Charles de Secondat, baron de, 1689-1755
25777.r015	n80038467	person	Peacock, Thomas Love, 1785-1866	1785^Birth#1866^Death						William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Peacock, Thomas Love, 1785-1866
25777.r016	n78081235	person	Sand, George, 1804-1876	1804^Birth#1876^Death						William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Sand, George, 1804-1876
25777.r017	n78088964	person	Stevenson, Robert Louis, 1850-1894	1850^Birth#1894^Death						William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Stevenson, Robert Louis, 1850-1894
25777.r018	no95015565	person	Tweedsmuir, Susan, 1882-	1882^Birth						William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Tweedsmuir, Susan, 1882-
25777.r019	n79063613	person	Wells, H. G. (Herbert George), 1866-1946	1866^Birth#1946^Death						William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Wells, H. G. (Herbert George), 1866-1946
25777.r020	n82137013	person	Rylands, George, 1902-1999	1902^Birth#1999^Death						William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Rylands, George, 1902-1999
25777.r021	nb2005001284	person	Strachey, Philippa, 1872-1968	1872^Birth#1968^Death						William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Strachey, Philippa, 1872-1968
25777.r022	n79135352	person	Nicolson, Nigel							William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Nicolson, Nigel
25777.r023	n50014041	person	Yonge, Charlotte M. (Charlotte Mary), 1823-1901	1823^Birth#1901^Death						William Beekman Collection of Virginia Woolf and Her Circle, 1731-1941 (The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.)	http://archives.nypl.org/brg/25777.xml	Yonge, Charlotte M. (Charlotte Mary), 1823-1901
